,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,45165,,,,,,
,36352,,,,,,
,40579,,,,,,
,53174,,,,,,
,37670,,,,,,
,14036,,,,,,
,67758,,,,,,
,65145,,,,,,
,57601,,,,,,
,51854,,,,,,
,6194,,,,,,
,42644,,,,,,
,42842,,,,,,
,45728,,,,,,
,45437,,,,,,
,47629,,,,,,
,21613,,,,,,
,52721,,,,,,
,72475,,,,,,
,37692,,,,,,
,35031,,,,,,
,30770,,,,,,
,35043,,,,,,
,38377,,,,,,
,41046,,,,,,
,43147,,,,,,
,60592,,,,,,
,80805,,,,,,
,38188,,,,,,
,54382,,,,,,
,33163,,,,,,
,65481,,,,,,
,27484,,,,,,
,57586,,,,,,
,71406,,,,,,
,52459,,,,,,
,30473,,,,,,
,41379,,,,,,
,31774,,,,,,
,34369,,,,,,
,49872,,,,,,
,31618,,,,,,
,57025,,,,,,
,49378,,,,,,
,74967,,,,,,
,40169,,,,,,
,41985,,,,,,
,30781,,,,,,
,49400,,,,,,
,35652,,,,,,
,28207,,,,,,
,64848,,,,,,
,54560,,,,,,
,65424,,,,,,
,48768,,,,,,
,63303,,,,,,
,36692,,,,,,
,47630,,,,,,
,74527,,,,,,
,50754,,,,,,
,72393,,,,,,
,54128,,,,,,
,47231,,,,,,
,50308,,,,,,
,54382,,,,,,
,40396,,,,,,
,37898,,,,,,
,37249,,,,,,
,21269,,,,,,
,45498,,,,,,
,31816,,,,,,
,19072,,,,,,
,25745,,,,,,
,45451,,,,,,
,22137,,,,,,
,42905,,,,,,
,27047,,,,,,
,53217,,,,,,
,43059,,,,,,
,74068,,,,,,
,45795,,,,,,
,32373,,,,,,
,46182,,,,,,
,44806,,,,,,
,42829,,,,,,
,24870,,,,,,
,30652,,,,,,
,42497,,,,,,
,85989,,,,,,
,52870,,,,,,
,43197,,,,,,
,28387,,,,,,
,31048,,,,,,
,38140,,,,,,
,51406,,,,,,
,47920,,,,,,
,37992,,,,,,
,29760,,,,,,
,43218,,,,,,
,36213,,,,,,
,47445,,,,,,
,51469,,,,,,
,33740,,,,,,
,40426,,,,,,
,43754,,,,,,
,41072,,,,,,
,24866,,,,,,
,51080,,,,,,
,39780,,,,,,
,49763,,,,,,
,56903,,,,,,
,63253,,,,,,
,47739,,,,,,
,42316,,,,,,
,53476,,,,,,
,47287,,,,,,
,31706,,,,,,
,55427,,,,,,
,47158,,,,,,
,62066,,,,,,
,25056,,,,,,
,23201,,,,,,
,69912,,,,,,
,8791,,,,,,
,41945,,,,,,
,32341,,,,,,
,62305,,,,,,
,43595,,,,,,
,33319,,,,,,
,71697,,,,,,
,62663,,,,,,
,39507,,,,,,
,31891,,,,,,
,30387,,,,,,
,13907,,,,,,
,56464,,,,,,
,45044,,,,,,
,34593,,,,,,
,33545,,,,,,
,39698,,,,,,
,42019,,,,,,
,29533,,,,,,
,82307,,,,,,
,37896,,,,,,
,44649,,,,,,
,30903,,,,,,
,31432,,,,,,
,44767,,,,,,
,31057,,,,,,
,46622,,,,,,
,38553,,,,,,
,50845,,,,,,
,35828,,,,,,
,42371,,,,,,
,38365,,,,,,
,42392,,,,,,
,35319,,,,,,
,48263,,,,,,
,37470,,,,,,
,55953,,,,,,
,42502,,,,,,
,13827,,,,,,
,21936,,,,,,
,80790,,,,,,
,15755,,,,,,
,68070,,,,,,
,50663,,,,,,
,60887,,,,,,
,50339,,,,,,
,31502,,,,,,
,42093,,,,,,
,44994,,,,,,
,9124,,,,,,
,38991,,,,,,
,20339,,,,,,
,34227,,,,,,
,54787,,,,,,
,18711,,,,,,
,33715,,,,,,
,43691,,,,,,
,47247,,,,,,
,56895,,,,,,
,27878,,,,,,
,60171,,,,,,
,29065,,,,,,
