"Careful Sex, 15-19","Careful Sex, 20-24","Careful Sex, 25-29","Careful Sex, 30-34","Careful Sex, 35-39","Careful Sex, 40- 44","Unsafe Sex, 15-19","Unsafe Sex, 20-24","Unsafe Sex, 25-29","Unsafe Sex, 30-34","Unsafe Sex, 35-39","Unsafe Sex, 40-44",Seeking Pregnancy,Pregnant
,8,15,1,,2,,,,,,,,
,5,12,4,6,16,,,,,,,,
,4,12,15,5,2,,,,,,,,
,0,6,0,25,8,,,,,,,,
,6,1,6,8,8,,,,,,,,
,1,3,12,1,1,,,,,,,,
,3,0,2,15,1,,,,,,,,
,7,8,0,3,18,,,,,,,,
,4,5,3,3,2,,,,,,,,
,6,2,0,1,0,,,,,,,,
,5,7,2,12,4,,,,,,,,
,7,2,4,5,0,,,,,,,,
,5,2,20,6,12,,,,,,,,
,10,9,3,12,2,,,,,,,,
,9,3,2,0,1,,,,,,,,
,1,25,20,,3,,,,,,,,
,3,5,0,0,1,,,,,,,,
,5,1,5,6,0,,,,,,,,
,4,6,2,1,0,,,,,,,,
,28,0,20,2,8,,,,,,,,
,3,2,1,3,3,,,,,,,,
,10,16,8,16,6,,,,,,,,
,13,20,2,2,2,,,,,,,,
,12,14,0,10,4,,,,,,,,
,12,4,7,2,0,,,,,,,,
,1,2,2,3,2,,,,,,,,
,7,4,4,5,4,,,,,,,,
,10,6,1,3,0,,,,,,,,
,10,2,3,0,8,,,,,,,,
,35,40,2,0,4,,,,,,,,
,6,0,0,0,3,,,,,,,,
,20,6,20,4,2,,,,,,,,
,1,5,5,3,1,,,,,,,,
,1,8,1,5,3,,,,,,,,
,3,7,20,1,4,,,,,,,,
,0,3,2,7,3,,,,,,,,
,0,4,1,5,4,,,,,,,,
,4,4,16,4,3,,,,,,,,
,9,84,0,0,1,,,,,,,,
,16,0,7,4,2,,,,,,,,
,12,15,0,6,4,,,,,,,,
,0,2,0,2,20,,,,,,,,
,12,8,12,8,14,,,,,,,,
,7,6,4,3,30,,,,,,,,
,5,2,15,1,20,,,,,,,,
,15,6,40,16,3,,,,,,,,
,5,0,0,2,5,,,,,,,,
,0,12,6,8,0,,,,,,,,
,6,15,2,5,2,,,,,,,,
,8,1,2,5,0,,,,,,,,
,16,4,10,0,1,,,,,,,,
,12,20,1,0,0,,,,,,,,
,15,2,2,12,5,,,,,,,,
,0,2,2,0,0,,,,,,,,
,6,3,1,20,5,,,,,,,,
,1,4,8,1,6,,,,,,,,
,10,5,2,15,16,,,,,,,,
,0,1,0,3,2,,,,,,,,
,5,4,0,3,5,,,,,,,,
,5,9,6,10,1,,,,,,,,
,5,5,2,2,4,,,,,,,,
,1,12,30,6,5,,,,,,,,
,6,4,3,3,4,,,,,,,,
,2,7,4,4,4,,,,,,,,
,5,4,6,2,0,,,,,,,,
,15,2,3,10,12,,,,,,,,
,21,15,3,14,6,,,,,,,,
,12,4,8,0,4,,,,,,,,
,10,0,2,10,1,,,,,,,,
,2,12,3,1,1,,,,,,,,
,3,20,2,2,1,,,,,,,,
,0,10,0,20,0,,,,,,,,
,0,0,6,8,3,,,,,,,,
,6,5,4,20,9,,,,,,,,
,10,4,4,1,2,,,,,,,,
,20,6,3,3,111,,,,,,,,
,0,6,1,20,5,,,,,,,,
,3,16,2,8,1,,,,,,,,
