"Prevention 2","Prevention 1","Base Prime",Base,"No Additional Intervention"
0,0,14.55512,4837.875,21223
0,0,59.43342,11348.16,25152
101.9739,187.8311,695.4381,811.8252,1189
9.711797,51.60195,639.9217,888.2209,1301
19.42359,63.98642,5367.29,7228.097,13178
0,0,36.86966,55.60447,173
0,0,3.814103,6.76924,29
0,0,128.4081,288.6597,2498
0,0,1808.309,6386.778,23140
0,0,4108.636,7451.482,12376
0,0,1889.252,1972.266,5741
0,0,2821.589,4368.577,10027
0,0,3479.309,9032.583,14322
0,0,1603.195,3715.346,6961
0,0,747.988,2250.772,4153
0,0,1713.804,7296.757,12204
0,0,1291.71,4905.281,7174
0,0,1053.54,4104.577,5571
0,0,5819.05,12421.55,22617
0,0,83.91026,98.63749,256
0,0,9.747152,15.47255,32
0,0,205.114,619.3854,3081
0,0,2372.796,10646.08,32445
0,0,8124.039,4853.061,19161
0,0,4843.487,3065.982,8780
0,0,6151.724,10163.53,15457
0,0,6619.587,14983.23,21369
0,0,2930.926,3633.148,10618
0,0,1298.914,2035.607,6098
0,0,3098.323,8569.857,18214
0,0,2324.484,7737.724,10767
0,0,1818.903,6901.24,8312
